ZONA,"COLONIA, SECTOR O BARRIO",VALOR CATASTRAL UNITARIO ($/MÏ)
8C,LAS QUINTAS GALICIA,"$3,068.00"
8C,NUEVA GALICIA,"$3,068.00"
8D,PASEO DEL SOL,"$2,872.00"
8E,FUENTES DEL MEZQUITAL,"$2,673.00"
8F,RESIDENCIAL NAVARRETE,"$3,494.00"
8G,VILLA SOL,"$2,529.00"
8H,SANTA FE,"$3,036.00"
8I,LAS PRADERAS IV,"$1,837.00"
8J,SEMINARIO RESIDENCIAL,"$3,864.00"
8K,VALLE BONITO CERRADAS DE PLATA Y ORO,"$2,442.00"
8L,VALLE BONITO CERRADA DE MINAS,"$2,703.00"
8M,ALCALA RESIDENCIAL,"$4,315.00"
8N,VILLA FLORENCIA,"$2,616.00"
8O,LOS PORTALES,"$4,028.00"
8P,FLAMINGO,"$4,327.00"
8Q,CASA GRANDE,"$4,851.00"
8R,LLANO VERDE,"$2,044.00"
8S,LOS LAGOS,"$9,385.00"
8T,STAUS - UNIVERSIDAD,"$2,550.00"
8U,CORONADO RESIDENCIAL,"$4,680.00"
8V,RIO GRANDE,"$2,921.00"
8W,LA VERBENA,"$2,074.00"
8X,LA VERBENA II ,"$2,346.00"
8Y,LA VERBENA SECC ASTURIAS ,"$2,540.00"
8Z,MONTECARLO,"$2,458.00"
8AA,REAL DE QUIROGA,"$3,902.00"
8AA,PRIVADA QUINTA EMILA,"$3,902.00"
8AB,PARQUE VERSALLES RESIDENCIAL,"$4,409.00"
8AC,VALLE DEL LAGO,"$4,578.00"
8AD,PRIVADA ROSALES,"$3,134.00"
8AE,PEæASCO RESIDENCIAL,"$2,856.00"
8AF,OFICINAS FEDERALES AL OESTE,"$2,458.00"
8AG,VILLA BONITA,"$2,180.00"
8AH,NAZAREO RESIDENCIAL,"$3,581.00"
8AI,OBISPOS II,"$4,066.00"
8AI,REAL DE MONTEJO,"$4,066.00"
8AI,VILLA DE PARRAS,"$4,066.00"
8AJ,VILLAS DEL MEDITERRANEO,"$3,310.00"
8BA,VILLAS DEL MEDITERRANEO SIN URB.,$698.00
8AK,PUERTA GRANDE,"$5,319.00"
8AL,VISTA DEL LAGO,"$5,924.00"
8AM,MONACO PRIVADAS RESIDENCIALES,"$3,439.00"
8AN,MEZQUITAL DEL ORO,"$1,444.00"
8AO,MARSELLA RESIDENCIAL,"$2,671.00"
8AP,JARDINES DE MONACO,"$3,815.00"
8AQ,ALTA CALIFORNIA RESIDENCIAL,"$5,020.00"
8AR,COMPOSTELA RESIDENCIAL,"$5,172.00"
8AS,CAMPANARIO,"$4,212.00"
8AT,"POLIGONO SIN FRACCIONAR CAUCE DEL RIO, BREæA ORIENTE Y NORTE",$796.00
8AU,POLIGONOS SIN FRACCIONAR CAUCE DEL RIO BREæA PONIENTE,$216.00
8AV,POLIGONOS CAMPO DE GOLF,$618.00
8AY,SECUNDARIA ESTATAL NO. 12,$589.00
8AZ,PLAZA COMERCIAL LAS PALMAS,"$3,521.00"
8BB,LOS LIENZOS RESIDENCIAL,"$3,330.00"
8BC,COLOSSUS,"$10,655.00"
8BD,LOTIFICACION QUINTERO ARCE-RIO SONORA,"$1,286.00"
8BE,CONDOMINIOS VILLAS DEL MEDITERRANEO,"$4,970.00"
8BF,CONDOMINIOS ALTA MONACO,"$6,208.00"
8BG,HEXUS MANZANAS,"$4,540.00"
9A,NACAMERI,"$1,662.00"
9A,SAN ANGEL,"$1,662.00"
9A,RESIDENCIAL PIMA,"$1,662.00"
9B,PASEO SAN ANGEL,"$1,521.00"
9B,PASEO SAN ANGEL II LAS PLACITAS I,"$1,521.00"
9B,PASEO SAN ANGEL II LAS PLACITAS II,"$1,521.00"
9B,PASEO SAN ANGEL II LAS PLACITAS V,"$1,521.00"
9B,PASEO SAN ANGEL III SECCION,"$1,521.00"
9C,PASEO SAN ANGEL II CERRADAS STA ENGRACIA Y SAN CARLOS,"$1,537.00"
9D,LAS PRADERAS NORTE,"$1,919.00"
9E,LAS PRADERAS SUR ( FOVISSSTE ),"$1,711.00"
9F,FOVISSSTE I y II,"$1,346.00"
9G,PALO VERDE,$910.00
9H,PALO VERDE,$752.00
9H,EL MEZQUITE,$752.00
9I,COSTA DEL SOL,"$1,259.00"
9J,CASA LINDA,"$1,275.00"
9J,LOS GIRASOLES,"$1,275.00"
9K,EL APACHE,$785.00
9L,EL APACHE,"$1,025.00"
9M,TIROCAPES,$910.00
9N,LOS OLIVOS,$894.00
9O,VILLA SUREæA,"$1,079.00"
9P,VILLA HERMOSA,$924.00
9Q,LAS MINITAS,$747.00
9R,EMILIANO ZAPATA,"$1,117.00"
9S,EL MEZQUITE,$943.00
9T,POTRERO DE BUSHARD,$30.00
9U,LOS TULIPANES,"$1,581.00"
9U,PORTAL DEL PITIC,"$1,581.00"
9V,EN BREæA ALSUR DE SOLEIL RESIDENCIAL,$278.00
9W,EN BREæA AL SUR DE LA CIUDAD,$298.00
9X,HACIENDA LOS LIRIOS,$856.00
9X,HACIENDA LOS ALCATRACES,$856.00
9Y,CERRADA DE MINAS,"$1,245.00"
9Y,REAL DE MINAS,"$1,245.00"
9Z,REAL DEL CARMEN RESIDENCIAL,"$1,371.00"
9Z,REAL DEL CARMEN II,"$1,371.00"
9Z,REAL DEL CARMEN III,"$1,371.00"
9Z,REAL DEL CARMEN IV,"$1,371.00"
9AA,PALOVERDE INDEUR/ OLIVOS,$845.00
9AB,EN BREæA AL SUR DE LA CIUDAD CARR. A GUAYMAS,$204.00
9AC,DE LOS POETAS,"$1,046.00"
9AD,LOTES EN CALLEJON LAS PLACITAS,"$1,117.00"
9AE,"VILLA HERMOSA, LAS VISTAS","$1,221.00"
9AF,AL SUR DE VILLA HERMOSA,"$1,106.00"
9AG,PRIVADA DEL SERI,"$1,439.00"
9AH,AMPLIACION NACAMERI,"$1,112.00"
10A,SOLIDARIDAD - VILDOSOLA ( ZONA SUR ),"$1,831.00"
10B,EQUIPAMIENTO EDUCATIVO,"$1,788.00"
10B,PARQUE INDUSTRIAL/ EXPO FORUM,"$1,788.00"
10C,VILLA DE SERIS,"$1,635.00"
10D,VILLA DE SERIS,"$1,264.00"
10E,EUSEBIO KINO - ISSSTESON,"$1,444.00"
10F,EMILIANO ZAPATA,"$1,134.00"
10G,LAS VILLAS,"$1,433.00"
10H,CERRO DE LA CRUZ,"$1,161.00"
10I,PROYECTO RIO SONORA,"$7,325.00"
10J,SAN PABLO,"$2,294.00"
10K,GRANJA DEL PEDREGAL,"$1,373.00"
10L,LA MOSCA,$981.00
10M,LA CANDELARIA RESIDENCIAL,"$3,363.00"
10N,WORKSPACE RIO 109 28,"$13,593.00"
10O,TORRE CELTARA,"$12,535.00"
11A,EL JITO,$662.00
11B,EL JITO,"$1,123.00"
11C,PEDREGAL DE LA VILLA,$948.00
11D,TIRO AL BLANCO,$823.00
11E,TIRO AL BLANCO,"$1,248.00"
11F,AKIWIKI,$818.00
11G,LAS LOMAS,"$1,673.00"
11G,PRIVADA LAS LOMAS,"$1,673.00"
11G,LAS LOMAS SECCION BONITA,"$1,673.00"
11G,LAS LOMAS PRIVADAS DEL BOSQUE,"$1,673.00"
11G,LAS LOMAS DEL MIRADOR,"$1,673.00"
11G,LAS LOMAS SECCION EL PARAISO,"$1,673.00"
11G,LAS LOMAS DEL SUR,"$1,673.00"
11G,LAS LOMAS DE CORTEZ,"$1,673.00"
11G,LAS LOMAS DEL SOL,"$1,673.00"
11H,LA CAMPANA,$565.00
11I,LAS LOMAS SECCION LOS MANZANOS,"$1,657.00"
11J,LAS LOMAS SECC. CASTAæOS,"$1,711.00"
11J,LAS LOMAS SECC. ALMENDROS,"$1,711.00"
11K,LAS LOMAS SECC. LOS MANZANOS II,"$1,739.00"
11L,"LAS LOMAS SECC. CASTAæOS II, III, IV","$1,711.00"
11M,"LAS LOMAS SECC. ALMENDROS II, III","$1,853.00"
11N,PROYECTO RIO SONORA,$322.00
11O,PEDREGAL DE LA VILLA,$822.00
11P,CERRO CEMENTERA,$65.00
11Q,CERRO PIEDRA BOLA,$65.00
11R,LAS LOMAS REAL DEL PARQUE,"$1,799.00"
11S,URBI VILLA DEL REY II ETAPA I,"$1,744.00"
11T,URBI VILLA DEL REY II ETAPA II,"$2,126.00"
11U,URBI VILLA DEL REY II ETAPA III,"$2,027.00"
11U,URBI VILLA DEL REY III SECCION,"$2,027.00"
11V,POLIGONOS SIN LOTIFICAR AL SUR DEL C. DE LA CEMENTERA,$206.00
11W,CERESO,$741.00
12A,CENTRO,"$1,804.00"
12B,CASA BLANCA,"$2,136.00"
12B,PRIVADA CASABLANCA,"$2,136.00"
12C,SAN JUAN,"$2,226.00"
12D,VILLA DEL PITIC,"$1,575.00"
12D,REVOLUCION I,"$1,575.00"
12E,NARANJOS,"$1,281.00"
12F,LOS SAUCES,"$1,570.00"
12F,REVOLUCION II,"$1,570.00"
12G,RINCONADA DE LA CRUZ,$709.00
12H,UNIVERSIDAD,"$1,368.00"
12I,CERRO DE LA CAMPANA,$959.00
12I,LAS PILAS,$959.00
12J,LA MATANZA,$979.00
12K,RANCHITO,$812.00
12L,HACIENDA DE LA FLOR,$752.00
12M,PROYECTO RIO SONORA,"$1,864.00"
12N,PROYECTO RIO SONORA,"$1,755.00"
12O,COLOSO,$382.00
12P,COLOSO,$278.00
12Q,COLOSO,$919.00
12R,CERRADA NORWALK,"$2,224.00"
12S,PEMEX,$414.00
13A,LOMAS DEL PITIC,"$3,277.00"
13B,LOS ALTOS RESIDENCIAL,"$5,510.00"
13C,EL ENCANTO RESIDENCIAL,"$2,774.00"
13C,CAMPESTRE RESIDENCIAL,"$2,774.00"
13D,CAMPO DE GOLF,$360.00
13E,MEDITERRANEO RESIDENCIAL,"$3,500.00"
13F,COUNTRY CLUB,"$1,286.00"
13G,FERROCARRILERA,"$1,404.00"
13H,LAS AMAPOLAS SUR,$654.00
13I,LAS AMAPOLAS NORTE,$843.00
13I,ZONA INDUSTRIAL,$843.00
13J,LA METALERA,$807.00
13K,CERRADA EL ENCANTO,"$2,894.00"
13L,BELLA VISTA,$747.00
13M,FERROCARRILERA,$807.00
13N,ZONA INDUSTRIAL ,$219.00
13O,POLIGONOS AL ORIENTE CERCA DEL VASO DE LA PRESA,$23.00
13P,FINCA LAS RIBERAS ,"$5,744.00"
13Q,GRAND KINO,"$11,723.00"
13R,"LAS RIBERAS, Villas Alicanto y Fraterna","$5,400.00"
13S,FINCA LAS RIBERAS CON FRENTE AL LAGO,"$9,238.00"
13T,"LAS RIBERAS, SECCION GRATTA","$5,375.00"
14A,LOMAS ALTAS,"$3,886.00"
14B,LOMAS ALTAS,"$3,488.00"
14C,LOMAS ALTAS,"$1,679.00"
14C,CUARTEL PITIC,"$1,679.00"
14D,LA JOLLA VILLA DE LOS ZAFIROS,"$7,674.00"
14E,LA JOLLA VILLA DE LOS DIAMANTES,"$8,191.00"
14E,LA JOLLA VILLA DE LAS ESMERALDAS,"$8,191.00"
14F,CUMBRES RESIDENCIAL,"$4,944.00"
14F,CUMBRES RESIDENCIAL III,"$4,944.00"
14F,CUCURPE II,"$4,944.00"
14G,LORETO,"$5,178.00"
14H,SAN LORENZO,"$3,036.00"
14I,LOMA LINDA,"$3,461.00"
14J,PALERMO SECCIÖN PARTANNA,"$4,082.00"
14J,PALERMO SECCIÖN VENETO,"$4,082.00"
14J,PALERMO SECCIÖN FERRARA,"$4,082.00"
14J,VILLA TOSCANA RESIDENCIAL,"$4,082.00"
14K,SAN LUIS,$801.00
14L,SAN LUIS,$741.00
14M,CERRADA CUCURPE,"$3,722.00"
14N,PUEBLO ALTO,"$2,790.00"
14O,VALLE DE SANTA MONICA,"$3,117.00"
14P,COLINAS DE SAN JAVIER,"$3,352.00"
14Q,PASEO DE LA COLINA,"$4,055.00"
14R,LAS LOMAS DEL PITIC,"$3,390.00"
14S,SANTA LUCIA,"$5,045.00"
14T,PUERTA DE HIERRO,"$3,831.00"
14U,QUINTA LA PALOMA,"$6,698.00"
14V,LOMAS DE BARROCAN,"$4,229.00"
14W,FIRENZE RESIDENCIAL,"$4,883.00"
14X,PRIVADAS RESIDENCIALES DEL PEDREGAL,"$3,957.00"
14X,PRIVADA RESIDENCIAL LA CAæADA,"$3,957.00"
14Y,TOSALI RESIDENCIAL,"$4,415.00"
14AG,VALLE DE SANTA MONICA S/ URBANIZAR II,"$1,685.00"
14AH,ALTOS DE ARAGON,"$5,060.00"
14AI,LAS VISTAS,"$4,175.00"
14AJ,ANTARA RESIDENCIAL,"$4,215.00"
14AK,LA JOLLA VILLA DE LAS TURQUESAS,"$6,085.00"
14AM,CONDOMINIOS GLADYS,"$5,303.00"
14AN,LA RIOJA NORTE,"$5,690.00"
14AO,ALTITUD 40,"$6,742.00"
14AP,ALTA FIRENZE RESIDENCIAL,"$5,258.00"
14AQ,LA JOLLA VILLA DE LAS TURQUESAS ETAPA 3,"$4,883.00"
14AQ,LA JOLLA VILLA DE LOS DIAMANTES ETAPA 3,"$4,883.00"
14AR,IBIZA RESIDENCIAL,"$5,314.00"
14AS,ALTITUD M,"$8,611.00"
14Z,AL PONIENTE DE BLVD. MORELOS,"$1,145.00"
14AA,AL ORIENTE DE BLVD. MORELOS CERROS,$709.00
14AB,CERROS ORIENTE,$179.00
14AC,CERROS SUR,$223.00
14AD,AL NORTE BLVD. PROGRESO,$179.00
14AE,AL NORTE FRACC. EL DORADO I,"$4,491.00"
14AF,AL SURORIENTE FRACC. EL DORADO I,"$3,624.00"
14AL,AL ORIENTE DE BLVD. MORELOS LOMAS,$445.00
15A,LOS SABINOS,"$4,945.00"
15A,LA PALOMA RESIDENCIAL I,"$4,945.00"
15A,LA PALOMA RESIDENCIAL II,"$4,945.00"
15A,EL DORADO I ,"$4,945.00"
15A,EL DORADO II,"$4,945.00"
15A,BRETAæA,"$4,945.00"
15B,PASEO MARGARITAS,"$1,890.00"
15C,JESUS GARCIA,"$1,951.00"
15C,APOLO,"$1,951.00"
15C,LOS ROSALES,"$1,951.00"
15D,LOMA LINDA,"$3,066.00"
15E,BUGAMBILIA,"$2,463.00"
15F,MISION DEL SOL,"$3,632.00"
15F,MISION  DEL REAL,"$3,632.00"
15G,PRIVADA VICTORIA,"$4,387.00"
15H,COLINAS,"$3,156.00"
15H,COLINAS II,"$3,156.00"
15H,PRIVADA CORDOVA,"$3,156.00"
15I,SACRAMENTO,"$3,346.00"
15J,TERRAZAS DEL MIRADOR,"$4,382.00"
15J,VISTAS DEL SOL RESIDENCIAL,"$4,382.00"
15K,PRADOS DEL SOL,"$2,414.00"
15L,PRADOS DE BUGAMBILIA,"$1,962.00"
15M,COLINA BLANCA,"$2,671.00"
15M,BACHOCO,"$2,671.00"
15N,LA VENTANA ,"$3,504.00"
15O,ARCADIA,"$3,564.00"
15O,PORTON DEL ARCO,"$3,564.00"
15P,SIERRA VISTA,"$2,256.00"
15Q,LEY 57,"$1,581.00"
15R,CATALINAS RESIDENCIAL,"$4,096.00"
15S,LOMAS DE MADRID,"$1,117.00"
15S,INSURGENTES,"$1,117.00"
15S,LOPEZ PORTILLO,"$1,117.00"
15S,HEBERTO CASTILLO,"$1,117.00"
15S,ROSARIO IBARRA DE PIEDRA,"$1,117.00"
15T,VILLA SONORA,"$1,308.00"
15T,VILLA GUADALUPE,"$1,308.00"
15T,VILLAS DEL REY,"$1,308.00"
15T,VILLAS DE CORTES,"$1,308.00"
15U,ALBORADA,"$1,367.00"
15V,CUATRO OLIVOS,"$1,134.00"
15W,LOMAS DE LINDA VISTA,"$1,366.00"
15X,ALTO VALLE,"$1,499.00"
15AK,ALTO VALLE SECC. ANDALUCIA,"$2,910.00"
15Y,LOS ANGELES,"$1,292.00"
15Z,LOS ANGELES X ETAPA,"$1,548.00"
15AA,PRADOS DE BUGAMBILIA II,"$1,722.00"
15AB,MISION SAN IGNACIO,"$3,085.00"
15AC,CUARTEL 15-A,"$2,485.00"
15AD,CUARTEL XV,"$3,014.00"
15AE,PASEO DEL PALMAR,"$3,706.00"
15AF,RESIDENCIAL KINO,"$2,164.00"
15AG,ALTO VALLE,$985.00
15AH,CONDOMINIOS HERMOSILLO PLAZA INN,"$6,976.00"
15AI,MARGARITAS / OLIVOS,"$1,722.00"
15AJ,BANUS RESIDENCIAL,"$3,465.00"
15AL,TORRE SOLARA,"$7,031.00"
15AM,BANUS CERRADA BELMONTE,"$3,690.00"
16A,LEY 57,"$1,466.00"
16A,FRANCISCO VILLA,"$1,466.00"
16A,POPULAR,"$1,466.00"
16A,JARDINES,"$1,466.00"
16A,ATARDECERES,"$1,466.00"
16B,LAS TORRES,"$1,706.00"
16B,ISSSTESON,"$1,706.00"
16C ,CONDESA ,"$1,455.00"
16C ,SANTA MARIA,"$1,455.00"
16C ,SANTA ISABEL,"$1,455.00"
16C ,BELLA VISTA,"$1,455.00"
16C ,SONOMEX NORTE,"$1,455.00"
16D,CNOP,"$1,313.00"
16E,LAS AVES,"$1,357.00"
16E,SAN JAVIER ORIENTE,"$1,357.00"
16E,ISABELES ,"$1,357.00"
16F,PROGRESISTA,"$1,379.00"
16G,VIRREYES,"$1,439.00"
16H,LIBERTAD,"$1,493.00"
16I,H. AYUNTAMIENTO,"$1,522.00"
16J,SAN DIEGO,"$1,308.00"
16K,DIVISION DEL NORTE,"$1,052.00"
16K,PRIMERO HERMOSILLO,"$1,052.00"
16K,NORBERTO ORTEGA,"$1,052.00"
16K,MARTIRES DE CANANEA,"$1,052.00"
16K,BENITO JUAREZ,"$1,052.00"
16K,SOLIDARIDAD,"$1,052.00"
16L,FRANCISCO KINO,"$1,222.00"
16L,JACINTO LOPEZ,"$1,222.00"
16L,CARMEN SERDAN,"$1,222.00"
16L,EL CORTIJO UNISON,"$1,222.00"
16L,SOLIDARIDAD,"$1,222.00"
16M,LOMAS DE MADRID,"$1,085.00"
16N,LA PRIMAVERA,"$1,150.00"
16O,MIGUEL HIDALGO,"$1,019.00"
16P,VILLA GUADALUPE,"$1,286.00"
16Q,CONJUNTO ARIZONA,"$1,728.00"
16R,RINCON AGRADABLE,$845.00
16S,LAS PALMAS,$774.00
16T,LOPEZ PORTILLO,"$1,238.00"
16U,HEBERTO CASTILLO,"$1,068.00"
16V,AMPLIACION PRIMERO HERMOSILLO,$556.00
16W,CERRADA SAN DIEGO,"$2,876.00"
17A,NUEVO HERMOSILLO,"$1,243.00"
17A,TERRANOVA,"$1,243.00"
17A,ALTAMIRA,"$1,243.00"
17B,CHULA VISTA,"$1,237.00"
17C,RENACIMIENTO,"$1,226.00"
17D,PARQUE INDUSTRIAL DYNATECH SUR,"$1,439.00"
17E,SIERRA CLARA,"$1,172.00"
17F,CUAUHTEMOC ,"$1,286.00"
17G,VALLE DEL MARQUES,"$1,458.00"
17H,Y GRIEGA,$992.00
17I,GALA,"$1,308.00"
17J,GALA II,"$1,243.00"
17K,AGUALURCA,"$1,295.00"
17L,ADOLFO DE LA HUERTA,"$1,167.00"
17M,LOS ALAMOS,"$1,372.00"
17N,ARBOLEDAS,"$1,139.00"
17O,PERISUR,"$1,488.00"
17P,LAS DILIGENCIAS,"$1,123.00"
17Q,ALTARES ,"$1,297.00"
17R,ALTARES,$209.00
17S,LAS CARRETAS,$707.00
17T,ALTARES II,$997.00
17U,ALTARES,$221.00
17V,ALTARES,$606.00
17W,VALLE DE LOS ALMENDROS,"$1,145.00"
17X,CENTRO ECOLOGICO / ACADEMIA DE POLICIA,$275.00
17Y,MALLORCA RESIDENCIAL,"$1,243.00"
17AH,VISTA REAL,"$1,493.00"
17AI,HACIENDAS DEL SUR,"$1,379.00"
17AJ,GALA III,"$1,183.00"
17AK,ALTARES SECC. AMANECERES,"$1,597.00"
,"""POLIGONOS SIN URBANIZAR""",
17Z,FRENTE CARRETERA A GUAYMAS,$172.00
17AA,"FRENTE A PLANTA FORD, CARR. A LA COLORADA",$501.00
17AB,ENTRE FRACC. ALTARES Y NUEVO HERMOSILLO,$572.00
17AC,CERRO DE AGUALURCA PONIENTE,$14.00
17AD,CERRO DE AGUALURCA ORIENTE I,$82.00
17AE,AL SUR BLVD. PRINCIPAL,$142.00
17AF,AL SUR ALTARES II,$129.00
17AG,CERRO DE AGUALURCA ORIENTE II,$25.00
18A,PARQUE INDUSTRIAL PIMEX,"$1,254.00"
18B,SAN LUIS,$687.00
18C,SAN LUIS,$343.00
18D,CAFê COMBATE,$698.00
18D,LA PONDEROSA,$698.00
18E,HACIENDA RESIDENCIAL CONDOMINAL,"$1,706.00"
18F,EL TIJERITO- TEC DE MONTERREY,$82.00
18Q,RANCHO SAN IGNACIO,"$2,507.00"
18R,PROLONGACION BLVD MORELOS,$322.00
18S,SANTERRA RESIDENCIAL,"$4,860.00"
18T,RIO SECO RESIDENCIAL,"$1,281.00"
18V,VENTURA CLUB RESIDENCIAL I y II ETAPAS,"$3,995.00"
18W,LOTIF. A LA ENTRADA DE HACIENDAS RESID.,$251.00
,"""POLIGONOS SIN LOTIFICAR""",
18G,AL NORTE DE LA PONDEROSA,$99.00
18H,AL SUR DE ENTRADA HACIENDA RESIDENCIAL,$239.00
18I,AL NORTE DE ENTRADA HACIENDA RESIDENCIAL,$125.00
18J,LANIX / ELECTRA,$37.00
18K,PREDIOS AL NORTE ORIENTE,$38.00
18L,PREDIOS AL NORTE PONIENTE,$5.00
18M,ZONA DE CERROS,$8.00
18N,PREDIOS AL SUR PONIENTE,$18.00
18O,PREDIOS AL SUR ORIENTE,$147.00
