ZONA,"COLONIA, SECTOR O BARRIO",VALOR CATASTRAL UNITARIO ($/MÏ)
18P,POLIGONOS  ALREDEDOR PROYECTO PUERTA NORTE,$56.00
19A,LA VICTORIA,$121.00
19B,EL TAZAJAL,$91.00
19C,TABACHINES,$144.00
19D,"DESARROLLO CAMPESTRE ""RESIDENCIAL""",$199.00
19J,PUNTA BELLA,$149.00
19L,FAJA ANCHA,$69.00
19M,RIBERAS DEL PITIC,"$4,955.00"
19P,FINCAS SAN MIGUEL,$140.00
19O,CAMPESTRE EL CHAPARRAL,$126.00
19Q,CAMPESTRE LOS ARROYOS,$489.00
19R,GRAN BEROA,"$2,392.00"
19S,PARQUE INDUSTRIAL VICTORIA 5.5,"$1,286.00"
,"""POLIGONOS SIN LOTIFICAR""",
19E,ENTRE CARR A URES Y CARR. A LA ACEITERA ,$171.00
19F,ENTRE  CARR. A LA ACEITERA Y CAMINO A  ALMACENES NACIONALES,$175.00
19G,CAMINO A  ALMACENES NACIONALES  AL SUR,$180.00
19H,PREDIOS AL ORIENTE,$152.00
19I,PREDIOS AL NORTE DE CARR. A URES,$207.00
19K,PREDIOS AL OESTE DE CARR. A ZAMORA,$101.00
20A,REAL DEL COBRE,"$1,264.00"
20B,SOLIDARIDAD V,$836.00
20B,MIGUEL ANGEL JIMENEZ,$836.00
20B,FRANCISCO DE PAULA GARCIA CORRAL,$836.00
20C,SOLIDARIDAD,$916.00
20C,SOLIDARIDAD IV,$916.00
20C,LA PLANCHA,$916.00
20D,MINIPARQUE INDUSTRIAL,"$1,602.00"
20E,REAL DEL CARDO,"$1,286.00"
20F,PRIVADAS DEL REAL III SECC.,"$1,270.00"
20F,VILLA DEL REAL,"$1,270.00"
20F,PRIVADAS DEL REAL,"$1,270.00"
20F,PRIVADAS DEL REAL II SECCION,"$1,270.00"
20F,ARANDANOS RESIDENCIAL,"$1,270.00"
20G,PUEBLO ESCONDIDO,"$1,324.00"
20G,PUEBLO DEL ANGEL,"$1,324.00"
20G,PUEBLO DEL SOL,"$1,324.00"
20G,TUMACACORI,"$1,324.00"
20G,PUEBLITOS CERRADA KIKAPU,"$1,324.00"
20G,PUEBLITOS CERRADA GUARIJIOS,"$1,324.00"
20G,PUEBLITOS CERRADA PAPAGOS,"$1,324.00"
20G,PUEBLITOS CERRADA KUKAPA,"$1,324.00"
20G,PUEBLO ALEGRE,"$1,324.00"
20G,OPATAS,"$1,324.00"
20H,PRIVADAS DEL BOSQUE,"$1,346.00"
20I,MANUEL GOMEZ MORIN,$877.00
20J,VALLE DEL PORTAL,"$1,401.00"
20J,NUEVA VICTORIA,"$1,401.00"
20K,HECTOR FRANCISCO ROMERO,$233.00
20L,LA CAMPIæA,"$1,515.00"
20M,PUEBLITOS SECCION LOS ALAMOS,"$1,221.00"
20N,PALO FIERRO,"$1,281.00"
20O,JORGE VALDEZ MUæOZ,$932.00
20P,TUBAC,"$1,453.00"
20Q,PUEBLO BONITO,"$1,473.00"
20Q,PUEBLO DEL ORO,"$1,473.00"
20R,PUEBLITOS CERRADA DIAMANTE,"$1,809.00"
20S,VILLA VERDE,"$1,128.00"
20S,VILLA VERDE ETAPA II,"$1,128.00"
20S,PRIVADA SAN GERMAN,"$1,128.00"
20T,PIMAS,"$1,515.00"
20U,PRIVADAS DEL REAL SECC. NORTE,"$1,117.00"
20V,NUEVO PROGRESO,$807.00
20W,CORDOBA RESIDENCIAL,"$1,352.00"
20X,VILLAS DEL TURIN,$245.00
20Y,LAS CUEVAS,$42.00
20AI,VILLAS DE SAN LORENZO,"$1,826.00"
,"""POLIGONOS SIN URBANIZAR""",
20Z,TERRENOS AL SURESTE,$425.00
20AA,AL NORTE DE ENTRONQUE LAZARO CARDENAS Y QUIROGA,$441.00
20AB,AL ORIENTE DE FRACC. VILLA DEL REAL,$643.00
20AC,TERRENOS EN PUEBLITOS,$529.00
20AD,ALREDEDOR DE FRACC. VILLA VERDE,$245.00
20AE,AL PONIENTE DE JORGE VALDEZ MUæOZ,$124.00
20AF,"AL PONIENTE BLVD, QUIROGA  ZONA DE CERROS",$39.00
20AG,AL EXTREMO PONIENTE DE LA REGION 20,$214.00
20AH,AL SUR FRACC. PUEBLO ESCONDIDO,$403.00
21A,INV. ALCATRAZ,$392.00
21B,PRIMAVERA,$736.00
21B,CENTRO,$736.00
21B,ARTESANOS,$736.00
21B,DE LA CRUZ,$736.00
21C,CARNAVALITO,$627.00
21C,LOMA LINDA,$627.00
21D,PROGRESO LOTIFICADO,$382.00
21E,LAS FUENTES,$119.00
21F,MARIN PARAISO,$351.00
21G,LA SARDINA Y AGUA ZARCA,$23.00
21H,CONDOMINIO JACQUELYNN,"$5,194.00"
21N,MEDITERRANEO,$245.00
21O,CONDOMINIO PUNTA PENINSULA KINO,"$2,196.00"
,PREDIOS SIN LOTIFICAR ,
21I, AL ORIENTE DEL PUEBLO KINO VIEJO,$95.00
21J, AL SUR ESTERO DE LA CRUZ,$124.00
21J,PREDIOS CON FRENTE A LA PLAYA,$124.00
21K,KINO VIEJO PUEBLO,"$1,308.00"
21L,DE  KINO VIEJO PUEBLO A CONDOMINIOS JACQUELYNN,"$1,036.00"
21M,DE CONDOMINIOS JACQUELYNN AL SUR,$964.00
22A,OASIS DE KINO,$102.00
22B,LOMAS DE KINO,"$1,286.00"
22AA,LOMAS DE KINO CERRIL,"$1,236.00"
22C,LOTES INTERIORES,$807.00
22D,COLINAS DEL MAR,$108.00
22E,LOMAS DE SAN GERMAN,$561.00
22F,VILLAS DEL MAR,"$2,867.00"
22G,LADERAS DEL MAR,"$4,676.00"
22H,VILLA CALIFORNIA,"$2,305.00"
22X,PINACATE II,$108.00
22AD,VISTAS RESERVA,"$1,035.00"
22AE,COLINAS DE SAN JORGE,"$1,853.00"
,KINO BAY ESTATES,
22I,PREDIOS COLINDANTE AL MAR,"$7,630.00"
22J,PREDIOS CON VISTA AL MAR I,"$4,840.00"
22K,PREDIOS AL ORIENTE ,"$3,891.00"
22L,PREDIOS AL ORIENTE II,"$4,055.00"
22M,PREDIOS AL ORIENTE III,"$2,580.00"
22Y,KINO BAY ESTATES IV ,"$3,805.00"
22Z,KINO BAY ESTATES IV AL ORIENTE,"$3,535.00"
,PREDIOS CON FRENTE A PLAYA,
22N,LOMAS DE KINO,"$7,210.00"
22O,DE LOMAS DE KINO A CONDOMINIOS VILLA CALIFORNIA,"$7,946.00"
22P,DE CONDOMINIOS VILLA CALIFORNIA AL SUR,"$6,322.00"
22AB,CONDOMINIO SANTA GEMMA,"$13,129.00"
22AC,CONDOMINIO KINO 142,"$12,939.00"
,TERRENOS EN BREæA,
22R,AL NORTE DE LOMAS DE KINO,$15.00
22S,FRENTE AL AEROPUERTO,$22.00
22T,"PREDIOS SIN URBANIZAR, AL NORTE DE AV. MAR DE CORTES ",$47.00
22U,AL NORTE  KINO BAY ESTATES,$143.00
22V,VALLE ESTELA,$483.00
22W,CERRO PRIETO,$376.00
23A,FRACC. CAMPESTRE LAS GRANJAS,$319.00
23B,LOS ARBOLITOS,$104.00
23C,LAS ARBOLEDAS,$76.00
23C,LAS HACIENDAS,$76.00
23D,REAL DEL ALAMITO PRIMERA SECCION.,$30.00
23E,"REAL DEL ALAMITO SECC ""Z""",$73.00
23F,"REAL DEL ALAMITO SECC ""RIO BONITO""",$280.00
23G,VALLE DE SAN PEDRO,$278.00
24A,"SECTOR ""A""",$755.00
24B,"SECTOR ""B""",$687.00
24C,"SECTOR ""C""",$768.00
24C,JESUS GARCIA I Y II,$768.00
24D,"SECTOR ""D""",$764.00
24D,LOS VIæEDOS I y II,$764.00
24E,MANUEL J. CLOUTHIER  URBANIZADO,$856.00
24F,MANUEL J. CLOUTHIER  NO URBANIZADO,$360.00
24G,SALVADOR ALVARADO,$867.00
24H,PREDIOS AL OESTE ,$20.00
24I,PREDIOS AL NORTE ,$4.00
24J,PREDIOS AL ESTE ,$44.00
24K,PREDIOS AL SUROESTE ,$4.00
24L,PREDIOS AL SUR,$17.00
24M,PREDIOS AL SUR ZONA CENTRO,$57.00
24N,VILLAS DEL NOGAL,"$1,232.00"
24O,"TRINIDAD SANCHEZ LEYVA I, II, III y IV",$420.00
25A,PARQUE INDUSTRIAL DE HERMOSILLO,"$1,049.00"
25B,"CENTRAL DE ABASTOS, MANZANAS",$948.00
25C,"CENTRAL DE ABASTOS, LOCALES COMERCIALES EN CONDOMINIO","$2,715.00"
25D,PARQUE INDUSTRIAL DE SONORA,$283.00
25J,PATIO HERMOSILLO,"$4,088.00"
,TERRENOS SIN URBANIZAR,
25E,VASO DE  LA PRESA,$254.00
25F,PONIENTE DEL PARQUE INDUSTRIAL ,$374.00
25G,AL SURORIENTE DEL PARQUE INDUSTRIAL,$123.00
25H,LOTIFICADO AL ORIENTE,$403.00
25I,AL ORIENTE PARQUE INDUSTRIAL,$158.00
26A,CAMPESTRE LOS PINOS,$15.50
27A,RANCHETES SANTA LUCIA,$26.00
27B,SANTA MONICA,$64.00
27C,PREDIOS SIN LOTIFICAR AL NORTE,$156.00
27D,PARQUE INDUSTRIAL DAMOZA,"$1,172.00"
27D,PARQUE INDUSTRIAL VIAVERTE,"$1,172.00"
28A,PUERTA REAL RESIDENCIAL,"$1,690.00"
28A,PUERTA REAL RESIDENCIAL III,"$1,690.00"
28A,PUERTA REAL RESIDENCIAL IV,"$1,690.00"
28A,PUERTA REAL RESIDENCIAL VII,"$1,690.00"
28A,PUERTA REAL RESIDENCIAL VIII,"$1,690.00"
28B,PUERTA REAL RESIDENCIAL VI,"$1,715.00"
28C,SAN BOSCO,"$1,566.00"
28C,SAN FRANCISCO,"$1,566.00"
28D,VILLA MERCEDES,"$1,292.00"
28E,SAN JUAN BOSCO II ETAPA,"$1,243.00"
28F,LIRIOS,"$1,461.00"
28G,PALMA DORADA,"$1,452.00"
28H,LA CHOLLA ,"$1,059.00"
28I,BENEI RESIDENCIAL ,"$2,191.00"
28J,LOS ARROYOS ,"$1,123.00"
28K,LOS ARROYOS (PIMH ) ,$976.00
28L,LUIS DONALDO COLOSIO,$899.00
28Q,LAS GLORIAS,$354.00
28R,UNION DE LADRILLEROS,$768.00
28S,SAN MARCOS I Y II,"$2,151.00"
28T,PUERTA REAL RESIDENCIAL V,"$1,559.00"
28V,PUERTA REAL RESIDENCIAL X,"$1,482.00"
28W,PUERTA REAL RESIDENCIAL IX,"$1,871.00"
28X,PUERTA REAL-AYUNTAMIENTO,$512.00
28Z,LAS VEREDAS,"$1,510.00"
28AE,LUIS DONALDO COLOSIO,$763.00
28AH,"LOTIF. ""EL ARENOSO""",$233.00
,POLIGONOS SIN LOTIFICAR,
28M,AL ORIENTE DE PUERTA REAL V,$376.00
28AA,AL PONIENTE DE PUERTA REAL VII,$376.00
28AB,AL PONIENTE DE PALMA DORADA,$376.00
28AC,AL ORIENTE DE SAN MARCOS,$420.00
28AD,ENTRE B QUIROGA Y LOTIF. LUIS D. COLOSIO,$741.00
28AF,PANTEON MUNICIPAL EL SAHUARO,$540.00
28AG,AL PONIENTE DEL ESPLENDOR,$567.00
28N,AEROPUERTO Y AL NORTE DE LA CHOLLA,$106.00
28O,AL PONIENTE I,$34.00
28P,AL PONIENTE II,$158.00
29A,FONHAPO,"$1,221.00"
29B,SAHUARO FINAL,"$1,221.00"
29C,SAHUARO ,"$1,112.00"
29D,PARADA CANO,"$1,270.00"
29D,SAHUARO,"$1,270.00"
29E,JEREZ DEL VALLE,"$1,259.00"
29E,VALLE DORADO,"$1,259.00"
29F,SAN ISIDRO,"$1,392.00"
29G,HACIENDA DEL SOL,"$1,455.00"
29H,PRIVADA PALMIRA,"$1,951.00"
29I,NUEVA PALMIRA ,"$1,324.00"
29J,LAS DUNAS,"$1,286.00"
29J,LAS DUNAS II,"$1,286.00"
29K,EL TRIUNFO,$894.00
29L,CAMINO REAL,"$1,406.00"
29M,NUEVO SAHUARO,"$1,155.00"
29M,PRIVADA NUEVO SAHUARO,"$1,155.00"
29N,RANCHO BONITO,"$2,091.00"
29O,BUENOS AIRES,"$1,495.00"
29P,BUENA VISTA,"$1,564.00"
29R,CONDOMINIO SAN PABLO,"$1,079.00"
29S,FLORESTA SECC. VILLA CEIBA,"$1,286.00"
29S,FLORESTA SECCION VILLA CIRUELOS,"1,286.00"
29S,FLORESTA SECCION VILLA FRESNOS,"1,286.00"
29S,FLORESTA SECCION VILLA CIPRESES,"$1,286.00"
29S,FLORESTA SECCION VILLA ALMENDROS,"$1,286.00"
29T,INTERNACIONAL,$888.00
29U,EL LLANITO,$687.00
29X,SAHUARO FINAL PIMH,"$1,281.00"
29Y,AMPLIACION LADRILLERAS,$910.00
29Z,LUIS DONALDO COLOSIO III Y IV ETAPA,$818.00
29AA,EL MIRADOR,$937.00
29AB,FLORESTA SECCION VILLA SAUCES,"$1,875.00"
29AC,OASIS LANTANA,"$1,433.00"
29AD,BUENA VISTA 2 SECC. AMANECER,"$1,586.00"
29AE,BUENA VISTA II ETAPA/ BOSCO RESIDENCIAL,"$1,906.00"
29AF,EL CHAPARRAL,$779.00
,POLIGONOS SIN URBANIZAR,
29V,PREDIOS AL SUR,$512.00
29W,PREDIOS AL NORTE,$572.00
30A,SOLIDARIDAD,$883.00
30B,SOLIDARIDAD,$954.00
30C,VILLA COLONIAL I PONIENTE,"$1,379.00"
30D,VILLAS DEL CORTIJO,"$1,215.00"
30E,EL CORTIJO,"$1,303.00"
30E,LOS MANANTIALES,"$1,303.00"
30F,EL CORTIJO UNISON,"$1,281.00"
30G,VILLA COLONIAL II ORIENTE,"$1,412.00"
30H,LA CARIDAD,"$1,303.00"
30I,VILLAS DE CORTES,"$1,368.00"
30AR,VILLAS DE CORTES SIN URBANIZAR,"$1,123.00"
30J,CERRADA CORTES,"$1,918.00"
30K,VILLA DORADA,"$1,423.00"
30L,SAN LUIS REY ,"$1,422.00"
30M,VILLAS DEL PALMAR,"$1,373.00"
30N,RINCON DE PALMAS,"$1,357.00"
30O,EL ENCANTO,"$1,226.00"
30P,JOYAS DEL BACHOCO,$256.00
30Q,PASEO DE LAS PALMAS,"$1,324.00"
30R,VILLAS RESIDENCIAL,"$1,499.00"
30AP,ARANJUEZ RESIDENCIAL,"$1,673.00"
30S,SAN SEBASTIAN,"$1,560.00"
30S,RETORNO DE LA MISIÖN,"$1,560.00"
30S,CERRADA DE LA CAPILLA,"$1,560.00"
30S,HACIENDAS RESIDENCIAL,"$1,560.00"
30T,4 DE MARZO,$906.00
30U,HERBERTO CASTILLO / AMPLIACION LAS PALMAS,$796.00
30V,NUEVO HORIZONTE,"$1,309.00"
30W,PILARES,"$1,243.00"
30X,VILLA CALIFORNIA,"$2,376.00"
30AT,SANTA BARBARA ,"$2,066.00"
30Y,SANTA BARBARA IV ETAPA,"$3,205.00"
30AA,ROMANZA Y PORTAL DE ROMANZA,"$1,352.00"
30AB,LOMAS DE REFORMA,$839.00
30AC,"PREDIOS USO INDUSTRIAL, BLVD. PUEBLO NUEVO",$540.00
30AD,TORRE PLATA,"$1,957.00"
30AK,CERRADA LA CARIDAD,"$1,421.00"
30AL,PRIVADAS DEL SAUCE,"$1,345.00"
30AM,LOMAS DEL NORTE Y PARAISO,"$1,148.00"
30AN,LOS PINOS,"$1,407.00"
30AO,LA CIMA,"$2,164.00"
30AQ,EL CORTIJO PERIODISTA,$986.00
30AS,VILLAS DE ROMANZA,"$1,450.00"
30AU,SIERRA BONITA,$447.00
30AV,ALONDRAS RESIDENCIAL,"$2,218.00"
30AW,TORRALBA,"$3,117.00"
30AX,MONARCA,"$3,047.00"
30AY,SUN MALL,"$5,445.00"
30AZ,GRANADA,"$1,521.00"
,PREDIOS SIN LOTIFICAR,
30AE,AL SUR DE FRACC. LA CARIDAD,$632.00
30AF,AL ORIENTE  DE FRACC. RETORNO DE LA MISION,$501.00
30AG,AL PONIENTE DE BLVD. SOLIDARIDAD,$553.00
30AH,AL NORTE CERCA DE BLVD. SOLIDARIDAD,$233.00
30AI,AL NORTE CERCANO A CERROS,$150.00
30AJ,AL NORTE CERCA DE FRACCIONAMIENTOS,$356.00
31A,OBISPOS RESIDENCIAL,"$4,420.00"
31B,SAN ANDRES RESIDENCIAL,"$3,712.00"
31C,TERRABLANCA,"$5,199.00"
31D,SIENA RESIDENCIAL,"$5,047.00"
31E,ANDENES,"$11,282.00"
31F,HEXUS,"$12,148.00"
32A,VILLAS DEL SUR,"$1,221.00"
32B,AGAVES RESIDENCIAL,"$1,595.00"
32C,QUINTAS DEL SOL RESIDENCIAL I ETAPA,"$1,335.00"
32D,QUINTAS DEL SOL,"$1,254.00"
32E,QUINTAS DEL SOL 8a ETAPA,"$1,292.00"
32F,LOPEZ MATEOS,$743.00
32F,LAS PEREDAS,$743.00
32G,QUINTAS DEL SOL VI ETAPA,"$1,204.00"
32H,QUINTAS DEL SOL XI Y XII ETAPAS,"$1,264.00"
32I,SANTA ANITA RESIDENCIAL,"$1,630.00"
32J,QUINTA ESMERALDA ETAPA 1 Y 2,"$1,352.00"
32K,QUINTA ESMERALDA ETAPA 3,"$1,867.00"
32L,SAN FERMIN,"$1,357.00"
33A,OASIS DEL SOL,"$1,359.00"
33C,OASIS SANTA FE,"$1,417.00"
33D,OASIS PALMEIRA I y II,"$1,341.00"
33E,OASIS SOLANA,"$1,363.00"
33E,SOLERA,"$1,363.00"
33E,MONTEREAL,"$1,363.00"
33B,PREDIOS SIN URBANIZAR AL SURPONIENTE DE LAS PLACITAS,$231.00
33F,PREDIOS POR CALLEJON PLACITAS,$376.00
33G,ALREDEDOR DE PROL. BLVD. QUIROGA,$122.00
33H,MESAVERDE,"$1,466.00"
33I,RENACERES,"$1,559.00"
33J,EL ALAMO,"$2,475.00"
33K,VALLE SAN FRANCISCO RESIDENCIAL,"$3,440.00"
33L,PARCELAS EJIDO VILLA DE SERIS,$31.00
33M,PARQUE INDUSTRIAL RIO SONORA-TETAKAWI,"$1,455.00"
34A,QUINTA REAL,$965.00
34H,PUERTA ESMERALDA,"$1,183.00"
34B,PASEO REAL RESIDENCIAL I SECC,"$1,826.00"
34I,PASEO REAL RESIDENCIAL II SECC,"$1,521.00"
34J,SOLEIL RESIDENCIAL,"$1,777.00"
34C,REAL DE CARMEN V SECCION,"$1,432.00"
34D,AZORES RESIDENCIAL,"$2,830.00"
34E,CASA REAL,$807.00
34F,POLIGONOS SIN URBANIZAR,$222.00
34G,LOTIFICACION EJIDO VILLA DE SERIS,$649.00
34K,FLORENZA RESIDENCIAL Y FLORENZA PLUS,"$2,049.00"
34L,CEZANNE RESIDENCIAL,"$2,187.00"
34M,MONET RESIDENCIAL,"$2,913.00"
34N,SORENTO RESIDENCIAL,"$2,616.00"
34O,FINCA SANTA MARIA,"$3,335.00"
35A,VILLA DE LOS CORCELES,"$3,730.00"
35B,VALLE DEL LAGO II,"$4,567.00"
35B,AMPLIACION VALLE DEL LAGO,"$4,567.00"
35C,PORTAL DEL LAGO,"$3,188.00"
35D,URBI VILLA DEL PRADO,"$1,270.00"
35D,URBI VILLA CAMPESTRE,"$1,270.00"
35E,VILLA LOURDES,"$2,530.00"
35E,VALLE DE ARANDAS,"$2,530.00"
35F,GENOVA RESIDENCIAL,"$2,502.00"
35H,CATAVIæA RESIDENCIAL,"$4,055.00"
35I,CORCELES RESIDENCIAL SECC. HIPICO,"$3,853.00"
35J,VALLE DEL LAGO ETAPA V,"$4,633.00"
35K,PUNTA DEL LAGO,"$3,526.00"
35L,LOTIF. CAMINO DEL SERI,$952.00
35M,LAGO ESCONDIDO FTE. CAMPO DE GOLF,"$6,513.00"
35P,LAGO ESCONDIDO INTERIOR,"$5,913.00"
35N,RIVELLO,"$5,237.00"
35N,RIVELLO III,"$5,237.00"
35O,CORSICA,"$3,400.00"
35Q,ALEGRANZA RESIDENCIAL,"$2,004.00"
35R,CASTELLO RESIDENCIAL,"$4,700.00"
35S,REAL DE TOLEDO,"$3,795.00"
35T,CONCORDIA RESIDENCIAL,"$5,135.00"
35U,LA GRAN RESERVA de Lago Escondido,"$7,535.00"
35V,SAN MARINO RESIDENCIAL,"$3,119.00"
35Z,ALTA RIVIERA RESIDENCIAL,"$6,415.00"
35AA,TEJARES,"$6,317.00"
35AB,PRAGA,"$2,295.00"
35AC,MONTE DE CALABRIA I ETAPA,"$4,450.00"
,POLIGONOS SIN LOTIFICAR,
35G,RIO SONORA AL PONIENTE DEL BLVD QUIROGA,$99.00
35W,RIO SONORA AL ORIENTE DEL BLVD QUIROGA,$216.00
35X,AL SUR Y AL PONIENTE DE VILLA BONITA,$665.00
35Y,AL NORTE DEL VILLA DEL PRADO,$139.00
36A,TIERRA NUEVA,"$1,308.00"
36A,CASA ALTA ,"$1,308.00"
36A,"PUERTA DEL REY ETAPA I, II,III Y VI","$1,308.00"
36B,"LA CAMPIæA ETAPAS III,IV Y V","$1,581.00"
36C,VILLA MERLOT RESIDENCIAL,"$2,447.00"
36D,POLIGONOS SIN LOTIFICAR,$111.00
36E,PASEOS DEL PEDREGAL I y II,"$1,270.00"
36F,NUEVA VICTORIA II ETAPA,"$1,134.00"
36G,AMPLIACIÖN EL MIRADOR,$899.00
36H,AMPLIACIÖN  LOS PINOS,"$1,441.00"
36I,LAURA ALICIA FRIAS DE LOPEZ NOGALES,$833.00
36I,NUEVO DESIERTO,$833.00
36J,VILLA VERDE III Y IV,"$1,221.00"
36K,TIERRA COLORADA,"$1,335.00"
36L,BICENTENARIO RESIDENCIAL,"$1,352.00"
36M,SOLIDARIDAD OCCIDENTAL,$905.00
36M,SOLIDARIDAD VI ETAPA,$905.00
36M,SOLIDARIDAD VIII ETAPA,$905.00
36N,FUENTE DE PIEDRA,"$1,412.00"
36N,PARQUE CENTRAL,"$1,412.00"
36N,TORRE DE PIEDRA,"$1,412.00"
36N,CANTABRIA,"$1,412.00"
36O,PARQUE INDUSTRIAL HERMOSILLO NORTE,"$1,003.00"
36P,HECTOR FRANCISCO ROMERO ETAPA II,$382.00
36Q,NATURA,"$2,010.00"
36R,"PRIVADAS DEL REY 1,2 y 3","$1,570.00"
36T,MONTESINOS,"$2,675.00"
36U,JARDIN REAL,"$2,570.00"
36V,MONTEREGIO RESIDENCIAL 1a SECCION,"$2,425.00"
36X,MACHI LOPEZ,$921.00
37A,POLIGONOS AL SUR DE NUEVO HERMOSILLO,$138.00
37B,POLIGONOS A L SUR DE P. INDUSTRIAL DYNATECH,$66.00
37C,BONANZA RESIDENCIAL,"$2,127.00"
37D,"ALTARES II y III, AMPLIACION ALTARES",$747.00
37E,CASTELINA,"$1,900.00"
37F,PARQUE INDUSTRIAL DYNATECH SUR,"$1,204.00"
37G,BELMONTE,"$1,962.00"
38A,POLIGONOS EN LA CARIDAD,$234.00
38B,URBI VILLA DEL CEDRO,"$2,090.00"
38B,URBI VILLA LOS FRESNOS,"$2,090.00"
38C,VELAS RESIDENCIAL,"$3,561.00"
38D,CANTERAS RESIDENCIAL,"$2,290.00"
38E,PRIVADAS DEL CID,"$3,550.00"
38E,CATANIA,"$3,550.00"
38F,BILBAO RESIDENCIAL,"$2,300.00"
38G,ALTARIA Y ALTARIA NORTE,"$4,028.00"
38H,REAL DE PALMAS,"$2,098.00"
39A,PREDIOS AL PONIENTE DEL CAMINO A CENTRAL UNION FENOSA,$202.00
39B,PARQUE INDUSTRIAL NEPO,$420.00
40A,POLIGONOS SIN URBANIZAR AL ESTE Y NORTE DEL CERRO DE APACHE,$463.00
40B,EL TRAPICHE,$376.00
40C,POLIGONOS AL NORTE DEL CAMINO DEL SERI,$681.00
40D,COL. CAMINO DEL SERI,$943.00
40E,BARCELONA RESIDENCIAL,"$3,837.00"
40F,SEDONA RESIDENCIAL,"$5,535.00"
40G,AUREA RESIDENCIAL,"$4,115.00"
40H,KYO UPDAY,"$4,153.00"
41A,ALAMEDA LOS ENCINOS RESIDENCIAL II,"$2,115.00"
42A,PUERTA DEL SOL,$319.00
42B,UNION DE PRODUCTORES DE LADRILLO,$100.00
42B,UNION 17 DE JULIO,$100.00
42C,LAS ACACIAS,"$3,155.00"
42D,LA ANTORCHA,$376.00
42E,CALIFORNIA RESIDENCIAL II,"$1,985.00"
42F,CALIFORNIA RESIDENCIAL III,"$1,915.00"
42G,SALAMANCA RESIDENCIAL I ETAPA,"$2,865.00"
42H,SALAMANCA RESIDENCIAL  II ETAPA (CONDOMINAL),"$3,831.00"
42I,COLONIA CAJEME,$98.00
42J,ALBATERRA 1a ETAPA,"$2,475.00"
43A,POMONA CONDOMINAL,"$2,500.00"
44A,CAMPESTRE CERRO COLORADO LOTIFICADO,$600.00
44B,CAMPESTRE CERRO COLORADO SIN LOTIF.,$21.00
50A,POBLADO LA MANGA,"$1,139.00"
50B,POBLADO EL LLANO,$954.00
50C,MONTEBELLO RESIDENCIAL,"$3,652.00"
50D,REAL DEL LLANO,"$1,564.00"
50E,REAL DEL LLANO,"$1,818.00"
50F,PASEO DE LAS MISIONES,"$4,235.00"
50AA,LA ENCANTADA,"$4,529.00"
50G,LA RIOJA,"$5,134.00"
50H,QUINTA EMILIA,"$1,033.00"
50I,ZONA UNO LA MANGA,"$1,875.00"
50V,EL CONQUISTADOR RESIDENCIAL,"$4,145.00"
50X,RESIDENCIAL LOS SANTOS,"$4,845.00"
50Y,LAS PROVINCIAS,"$4,160.00"
50Z,CAMPOGRANDE RESIDENCIAL,"$3,960.00"
50AB,SALVATIERRA,"$4,573.00"
50AC,REAL DE SEVILLA,"$5,130.00"
50AD,LOTIFICACION (EL CHANATE),$561.00
50AF,LA CORUæA,"$5,739.00"
50AG,SANTA CRUZ,"$4,534.00"
50AH,REAL DE SEVILLA 3a ETAPA 2a SECC,"$5,367.00"
50AI,EL SECRETO RESIDENCIAL,"$5,080.00"
50AJ,REAL DE CASTILLA ,"$5,085.00"
50AK,REAL DE CASTILLA 2a ETAPA,"$5,330.00"
50AM,ALTOZANO,"$1,581.00"
50AN,LA CORUæA PORTONOVO Y ALMAR,"$5,678.00"
50AO,PRIVADA DALô,"$4,573.00"
50AP,BONATERRA,"$5,235.00"
50AQ,PRADO DEL VENADO,"$4,635.00"
50AQ,PRADO DEL CIMARRON,"$4,635.00"
50AR,BASALTO RESIDENCIAL I y II ETAPAS,"$5,125.00"
50AS,BASALTO RESIDENCIAL III ETAPA,"$6,630.00"
50AT,BASALTO RESIDENCIAL IV ETAPA,"$1,581.00"
50AU,CUMBRE DE LA ALONDRA,"$4,495.00"
50AU,CUMBRE DEL HALCON,"$4,495.00"
50AV,VALLE DEL ZORRO,"$4,430.00"
50AW,CUMBRE DEL TECOLOTE,"$4,430.00"
50AX,VALLE DEL CONEJO,"$4,573.00"
50AY,CUMBRE DEL PUMA,"$4,573.00"
50AZ,VILLA UNIVERSITARIA,"$3,510.00"
50BA,ALTOZANO (CENTRO DE CIUDAD-TORRE ENCINOS),"$9,952.00"
,PREDIOS SIN LOTIFICAR,
50J,CERCA DE CERROS AL SUR,$409.00
50K,AL SUR DEL POB LA MANGA,$736.00
50L,AL PONIENTE DE BLVD. QUIROGA Y AL SUR DE BLVD COLOSIO,$862.00
50M,AL ORIENTE DE BLVD. QUIROGA Y AL SUR DE BLVD COLOSIO,$861.00
50N,ALREDEDOR DE FRACC PASEO DE LAS MISIONES,"$2,055.00"
50O,AL SUR DE BLVD. GARCIA MORALES Y AL PONIENTE DE REAL DE QUIROGA,$719.00
50P,AL NORTE DE BLVD. COLOSIO AL ORIENTE DE BVLD. QUIROGA,"$2,158.00"
50Q,ENTRE QUINTA EMILIA Y EL LLANO,$916.00
50R,SEMINARIO MAYOR Y ALREDEDOR DE CAPISTRANO,"$1,204.00"
50S,PREDIOS INTERIORES AL SUR GARCIA MORALES Y EL PONIENTE DEL BLVD. SOLIDARIDAD,"$1,439.00"
